ID,POSTED_BY,UNDER_CONSTRUCTION,RERA,BHK_NO.,BHK_OR_RK,SQUARE_FT,READY_TO_MOVE,RESALE,ADDRESS,LONGITUDE,LATITUDE,TARGET(PRICE_IN_LACS)
2200032,Dealer,0,1,2,BHK,943.1266076,1,1,"Sector-134 Noida,Noida",28.5041,77.381557,33
2200033,Owner,0,0,2,BHK,1150.146382,1,1,"Indra Colony,Jaipur",26.586306,74.873234,55
2200034,Dealer,1,1,1,BHK,864.0674394,0,1,"Thane West,Lalitpur",19.18,72.96333,82
2200035,Dealer,0,1,2,BHK,857.7861968,1,0,"Mulund (West),Maharashtra",19.1759,72.9522,240
2200036,Owner,0,0,3,BHK,1174.210077,1,1,"Thalambur,Chennai",12.852171,80.216826,55
2200037,Dealer,1,1,2,BHK,1020.087884,0,1,"Wakad,Pune",18.5993,73.7625,65
2200038,Owner,0,0,4,BHK,1650.165017,1,1,"Vasna,Vadodara",22.312063,72.674296,65
2200039,Dealer,1,0,2,BHK,1000,0,1,"Madhurawada,Visakhapatnam",17.815234,83.35818,35
2200040,Owner,0,0,3,BHK,1300.052002,1,1,"Vasanthapura,Bangalore",12.894088,77.548914,75
2200041,Dealer,1,1,1,BHK,40606.19568,0,0,"Kanjur Marg (East),Lalitpur",24.69028,78.41889,9110
2200042,Dealer,0,1,2,BHK,1058.114928,1,1,"Sus,Pune",18.539812,73.737678,65
2200043,Dealer,1,0,1,BHK,400,0,1,"Kharadi,Pune",18.5438,73.9438,30
2200044,Dealer,0,1,3,BHK,1274.924779,1,1,"Marol,Mumbai",22.803593,83.755013,250
2200045,Dealer,0,0,2,BHK,1026.694045,1,1,"Wadala East,Lalitpur",19.014858,72.8662,220
2200046,Owner,0,0,2,BHK,1150.121065,1,1,"Near Ambamata Mandir,Vapi",20.36667,72.9,38
2200047,Owner,0,0,3,BHK,1200,1,1,"Patel Nagar-II,Ghaziabad",28.460928,77.039391,60
2200048,Dealer,0,0,1,RK,475.0103263,1,1,"Balkum,Lalitpur",24.69028,78.41889,46
2200049,Builder,1,1,1,BHK,301.9171163,0,0,"Taloja,Lalitpur",24.69028,78.41889,26.3
2200050,Dealer,1,1,2,BHK,1228.571429,0,1,"Bolar,Mangalore",12.843852,74.845271,51.6
2200051,Owner,0,0,2,BHK,986.0164934,1,1,"Ayanambakkam,Chennai",13.077175,80.151453,55
2200052,Dealer,1,1,3,BHK,1972.565158,0,1,"Sector 88 Faridabad,Faridabad",28.431862,77.351104,71.9
2200053,Dealer,1,1,1,BHK,420.6166888,0,1,"Sindhi Society Chembur,Lalitpur",19.048403,72.88731,130
2200054,Owner,0,0,3,BHK,1275.009808,1,1,"Shiv Mandir,Siliguri",25.232239,71.392013,32.5
2200055,Dealer,1,1,1,BHK,406.024219,0,0,"Kalyan (West),Maharashtra",19.245347,73.124577,39.9
2200056,Dealer,0,0,3,BHK,1862.562189,1,1,"Sector 88 Faridabad,Faridabad",28.431862,77.351104,59.9
2200057,Owner,0,0,2,BHK,950.0146156,1,1,"Nandanwan Phases 2,Aurangabad",19.88879,75.34344,65
2200058,Owner,0,1,4,BHK,5200.945626,1,1,"Sector-76 Noida,Noida",28.567633,77.383124,110
2200059,Dealer,0,0,2,BHK,1049.969344,1,1,"Basaveshwara Nagar,Bangalore",12.985039,77.54383,68.5
2200060,Dealer,0,0,3,BHK,1615.008157,1,1,"Maniktala,Kolkata",22.589694,88.372957,99
2200061,Dealer,0,0,3,BHK,1150.0069,1,1,"Wadala East,Lalitpur",19.014858,72.8662,250
2200062,Owner,0,0,2,BHK,1100,1,1,"Jhotwara,Jaipur",26.955346,75.734793,27.5
2200063,Dealer,1,1,2,BHK,906.2661833,0,0,"Balkum,Lalitpur",24.69028,78.41889,70
2200064,Owner,0,0,3,BHK,1454.333915,1,1,"Poolakkaparambu,Ottapalam",10.77,76.38,50
2200065,Owner,0,0,3,BHK,1591.994542,1,1,"Sector-137 Noida,Noida",28.506454,77.409568,70
2200066,Dealer,0,1,2,BHK,573.8769151,1,1,"Sector 86 Faridabad,Faridabad",28.406388,77.342588,22.1
2200067,Dealer,0,1,3,BHK,1038.883942,1,1,"Powai,Mumbai",19.12,72.91,280
2200068,Owner,0,0,3,BHK,1538.141758,1,1,"Yelahanka,Bangalore",13.11389,77.59833,74
2200069,Owner,0,0,2,BHK,5000,1,1,"Malviya Nagar,Jaipur",26.850391,75.814198,85
2200070,Dealer,0,0,3,BHK,1602.084012,1,1,"Sector 77 Faridabad,Faridabad",28.368269,77.37273,49.2
2200071,Owner,0,0,2,BHK,1200,1,1,"Madhuranagar,Vijayawada",16.51667,80.61667,45
2200072,Owner,0,0,2,BHK,760.07094,1,1,"Tilakwadi,Belgaum",15.86667,74.5,60
2200073,Owner,1,0,2,BHK,739.8273736,0,1,"tallaiya,Bhopal",23.25,77.41667,30
2200074,Owner,0,0,2,BHK,1260.02291,1,1,"Mulki,Mangalore",13.0915,74.7844,33
2200075,Owner,0,0,2,BHK,1100.151745,1,1,"Manewada,Nagpur",21.093676,79.111965,29
2200076,Dealer,0,1,3,BHK,2293.077091,1,1,"Kharadi,Pune",18.5438,73.9438,210
2200077,Dealer,0,0,2,BHK,1146.480331,1,1,"Sector-8 Ulwe,Lalitpur",19.216097,72.821721,88.6
2200078,Dealer,0,1,4,BHK,2224.059764,1,1,"Goregaon (East),Lalitpur",19.1615,72.8731,780
2200079,Dealer,0,0,2,BHK,759.8784195,1,1,"Joka,Kolkata",22.452032,88.298947,30
2200080,Owner,0,0,4,BHK,2260.251857,1,1,"Wilson Garden,Bangalore",12.9506,77.5952,140
2200081,Dealer,0,0,3,BHK,767.0182167,1,1,"DN Nagar,Maharashtra",20.742166,80.104602,240
2200082,Owner,0,0,4,BHK,2500,1,1,"Ramprastha,Ghaziabad",28.66667,77.41667,160
2200083,Dealer,1,1,4,BHK,2286.236854,0,1,"Gomti Nagar Extension,Lucknow",21,77,100
2200084,Owner,0,1,2,BHK,1150.086256,1,1,"Sector-74 Noida,Noida",28.577673,77.389781,60
2200085,Dealer,0,1,2,BHK,1004.932182,1,1,"New Panvel,Mumbai",18.966114,73.148278,81.5
2200086,Owner,0,0,2,BHK,800,1,1,"Prantik,Kolkata",22.56972,88.36972,34
2200087,Dealer,1,0,3,BHK,993.75,0,1,"Subhas Pally,Siliguri",26.706157,88.439748,31.8
2200088,Dealer,0,0,2,BHK,1298.139334,1,1,"Jatkhedi,Bhopal",23.169982,77.477889,30
2200089,Dealer,0,1,2,BHK,996.797438,1,1,"Raj Nagar Extension,Ghaziabad",26.900926,75.775927,24.9
2200090,Owner,0,0,2,BHK,985.0194952,1,1,"CV Raman Nagar,Bangalore",12.98556,77.66389,48
2200091,Dealer,0,0,3,BHK,1118.75,1,1,"Medavakkam,Chennai",12.91716,80.19287,53.7
2200092,Dealer,0,1,2,BHK,889.8305085,1,1,"Sector-137 Noida,Noida",28.506454,77.409568,42
2200093,Owner,0,0,3,BHK,2738.22563,1,1,"Basapura,Bangalore",12.863421,77.652405,150
2200094,Dealer,1,1,4,BHK,1725.490196,0,0,"Deonar,Maharashtra",19.049513,72.919204,440
2200095,Dealer,1,1,3,BHK,2488.004265,0,1,"Sector-82 Mohali,Mohali",30.654128,76.732427,140
2200096,Dealer,0,0,3,BHK,1200.082764,1,1,"Satgachi,Kolkata",23.207157,88.404471,58
2200097,Dealer,0,0,2,BHK,1584.283904,1,1,"Tilak Nagar,Kanpur",26.459137,79.506922,100
2200098,Owner,0,0,2,BHK,900,1,1,"Kalol,Gandhinagar",23.2257,72.51679,18
2200099,Dealer,0,1,2,BHK,1193.440032,1,1,"Talegaon,Pune",18.441256,74.647361,60.4
2200100,Owner,0,0,2,BHK,1487.357462,1,1,"Mansarovar Extension,Jaipur",26.8626,75.7633,30
2200101,Owner,1,1,2,BHK,989.9029895,0,1,"Sector-143 Noida,Noida",28.5035,77.426447,50
2200102,Dealer,0,0,2,BHK,1155.020213,1,1,"Bhandup (West),Maharashtra",19.147866,72.932609,140
2200103,Owner,0,0,2,BHK,949.893137,1,1,"Eswaran Koil Street,Pondicherry",11.93,79.83,80
2200104,Owner,0,0,2,BHK,875,1,1,"Sector-78 Noida,Noida",28.560719,77.386208,49
2200105,Dealer,0,0,2,BHK,853.3611982,1,1,"Ananth Nagar,Bangalore",12.96991,77.59796,24.5
2200106,Owner,0,0,1,BHK,483.0917874,1,1,"Roha,Raigad",18.4543,73.1147,18
2200107,Dealer,0,0,2,BHK,800,1,1,"Thane West,Maharashtra",19.18,72.96333,95
2200108,Owner,0,0,2,BHK,802.0415603,1,1,"Ankur Vihar,Ghaziabad",28.66667,77.41667,22
2200109,Dealer,0,1,2,BHK,610.0660905,1,1,"Koyambedu,Chennai",13.069866,80.198423,48
2200110,Owner,0,0,3,BHK,1680.107527,1,1,"Naveen Nagar,Kanpur",28.861993,78.756315,75
2200111,Owner,0,0,2,BHK,1150.136038,1,1,"Nirman Nagar,Jaipur",19.980678,79.297436,93
2200112,Owner,0,0,3,BHK,1550.114497,1,1,"Sector-75 Noida,Noida",28.576117,77.382136,88
2200113,Owner,0,0,5,BHK,1699.834163,1,1,"Sahibabad,Ghaziabad",28.6711,77.3683,82
2200114,Owner,1,0,3,BHK,1600.170685,0,1,"Tripunithura,Kochi",9.952439,76.3632965,75
2200115,Owner,0,0,1,BHK,600.0566091,1,1,"Pen,Raigad",18.75,73.08,21.2
2200116,Dealer,0,1,2,BHK,1429.200617,1,1,"Sector-66A Mohali,Mohali",30.661104,76.746082,64.9
2200117,Owner,0,0,2,BHK,1115.137998,1,1,"Dodda Banaswadi,Bangalore",13.008071,77.651295,80
2200118,Dealer,0,0,4,BHK,2750.929368,1,1,"Sikandra,Agra",27.216013,77.950834,74
2200119,Owner,0,0,3,BHK,1811.196487,1,1,"Kanke,Ranchi",23.35556,85.33472,99
2200120,Owner,0,0,2,BHK,1045.036079,1,1,"Narendrapur,Kolkata",22.43917,88.39583,42
2200121,Dealer,0,0,3,BHK,3433.996566,1,1,"Sector-65 Gurgaon,Gurgaon",28.403138,77.070052,340
2200122,Owner,0,0,3,BHK,1298.219585,1,1,"Electronics City Phase 1,Bangalore",12.840956,77.659441,70
2200123,Owner,1,1,2,BHK,1109.165207,0,1,"Katapady,Udupi",13.278237,74.747328,38
2200124,Dealer,1,1,4,BHK,1304.034182,0,0,"Kanchpada,Maharashtra",18.96,72.82,470
2200125,Dealer,0,1,2,BHK,1041.195111,1,1,"Sector-70 Noida,Noida",28.59632,77.38143,46
2200126,Dealer,0,0,3,BHK,2135.748916,1,1,"Sector 82 Faridabad,Faridabad",28.394375,77.357227,83.7
2200127,Owner,0,1,3,BHK,1850.180505,1,1,"Noida Extension,Noida",28.579004,77.431173,82
2200128,Dealer,0,0,3,BHK,1665.080875,1,1,"Kudasan,Gandhinagar",23.166495,72.63429,70
2200129,Owner,0,1,2,BHK,398.2621289,1,1,"Purseni,Lucknow",26.707154,80.982346,11
2200130,Owner,0,0,2,BHK,1005.025126,1,1,"Chandapura,Bangalore",12.80009,77.71182,48
2200131,Dealer,0,1,4,BHK,4900.959771,1,1,"Kharadi,Pune",18.5438,73.9438,240
2200132,Dealer,0,1,2,BHK,1294.016156,1,1,"4 Bunglows,Mumbai",19.128324,72.825408,330
2200133,Dealer,0,1,3,BHK,1536.806516,1,1,"Sector-3 Vaishali,Ghaziabad",28.6423,77.3445,100
2200134,Owner,0,0,2,BHK,1123.188406,1,1,"Kaggadasapura,Bangalore",12.9816,77.6729,62
2200135,Dealer,0,0,2,BHK,800.1939864,1,1,"Jhotwara,Jaipur",26.955346,75.734793,16.5
2200136,Dealer,0,1,4,BHK,2655.807365,1,1,"Manpada,Maharashtra",19.239813,72.962722,300
2200137,Dealer,0,0,3,BHK,1513.775356,1,1,"JP Nagar,Bangalore",12.905368,77.580403,100
2200138,Owner,0,0,3,BHK,1280,1,1,"Ponekkara,Kochi",9.930471,76.271273,48
2200139,Owner,0,0,1,BHK,410.0678733,1,1,"Sector-18 Vrindavan Colony,Lucknow",28.568846,77.324966,14.5
2200140,Dealer,0,0,4,BHK,3429.355281,1,1,"Vasna Road,Vadodara",22.312063,72.674296,100
2200141,Dealer,0,0,2,BHK,890.0451869,1,1,"Sector-25 Khandeshhwar,Mumbai",28.582887,77.339935,65
2200142,Owner,0,0,2,BHK,977.7082519,1,1,"Bicholi Mardana,Indore",22.1764,75.8193,25
2200143,Dealer,0,0,2,BHK,1099.855282,1,1,"Syndicate Bank Colony,Bangalore",12.977126,77.577724,38
2200144,Owner,1,0,2,BHK,1050.241272,0,1,"Paota,Jodhpur",26.29564,73.03943,37
2200145,Dealer,0,1,3,BHK,1400.241838,1,1,"Raj Nagar Extension,Ghaziabad",26.900926,75.775927,57.9
2200146,Dealer,0,0,3,BHK,1740.139211,1,1,"Sector 19 Kharghar,Mumbai",19.048979,73.078232,180
2200147,Dealer,0,1,2,BHK,1149.131767,1,1,"Marol,Lalitpur",24.69028,78.41889,180
2200148,Dealer,0,0,2,BHK,650.1950585,1,1,"Vadavalli,Coimbatore",11.026678,76.903583,20
2200149,Owner,0,0,2,BHK,1355.01355,1,1,"Gopalpura Bypass,Jaipur",26.878068,75.779856,85
2200150,Dealer,0,0,3,BHK,1800.072003,1,1,"Rasanna Colony,Bangalore",12.96991,77.59796,150
2200151,Dealer,0,1,2,BHK,907.6305221,1,1,"Taloja,Maharashtra",21.56128,74.21238,33.9
2200152,Dealer,0,0,3,BHK,1636.296021,1,1,"Budigere,Bangalore",13.141581,77.749756,88
2200153,Owner,0,0,2,BHK,900.2520706,1,1,"Tarsali,Vadodara",22.261354,73.215533,25
2200154,Owner,0,0,2,BHK,1318.044023,1,1,"Doddakannelli,Bangalore",12.905538,77.694263,100
2200155,Dealer,0,1,3,BHK,1949.586451,1,1,"Sector-88 Mohali,Mohali",30.684523,76.691728,99
2200156,Dealer,0,0,3,BHK,1643.36522,1,1,"Kakkanad,Kochi",9.930471,76.271273,67
2200157,Dealer,0,0,3,BHK,1233.045623,1,1,"Kanjur Marg (East),Maharashtra",18.96,72.82,210
2200158,Dealer,0,0,1,BHK,655.0802139,1,1,"Sector 20 Ulwe,Maharashtra",18.964489,73.019574,49
2200159,Owner,0,0,2,BHK,1180.173092,1,1,"Ferrar Nagar,Bangalore",12.96991,77.59796,75
2200160,Owner,0,0,3,BHK,1200.087279,1,1,"Sahibabad,Ghaziabad",28.6711,77.3683,55
2200161,Dealer,0,0,4,BHK,6974.645114,1,1,"New Alipore,Kolkata",22.53028,88.33417,1700
2200162,Owner,1,1,4,BHK,2700.075602,0,1,"Sector-98 Noida,Noida",28.535689,77.359671,250
2200163,Owner,0,0,2,BHK,850.0991782,1,1,"Ajmer Road,Jaipur",26.928785,75.828002,30
2200164,Dealer,1,1,4,BHK,2636.296531,0,1,"Konanakunte,Bangalore",12.8855,77.5638,250
2200165,Owner,0,0,2,BHK,900.0163639,1,1,"Roopena Agrahara,Bangalore",12.928575,77.585721,55
2200166,Dealer,1,0,4,BHK,2472.952087,0,1,"NIBM,Pune",18.475864,73.890009,160
2200167,Dealer,0,0,2,BHK,904.0656205,1,1,"Suraksha Nagar,Bangalore",20.098413,79.10786,50.7
2200168,Dealer,1,1,1,BHK,265.0033933,0,1,"Andheri (East),Lalitpur",19.1145,72.8712,82
2200169,Dealer,1,1,3,BHK,1570.306924,0,1,"Tonk Road,Jaipur",26.16667,75.78333,110
2200170,Dealer,0,0,2,BHK,955.4140127,1,1,"Hiranandani Estate,Lalitpur",19.255098,72.9815265,150
2200171,Dealer,0,0,2,BHK,1000,1,1,"Sector-53 Noida,Noida",28.593566,77.362752,60
2200172,Dealer,0,0,4,BHK,2494.747899,1,1,"Kadugodi,Bangalore",12.995285,77.766797,95
2200173,Owner,0,0,2,BHK,1150.130348,1,1,"Villivakkam Near ICF Bus Stand,Chennai",13.1101,80.2095,75
2200174,Dealer,0,0,2,BHK,1210.136674,1,1,"Kamothe,Mumbai",19.0168,73.09646,85
2200175,Dealer,0,0,2,BHK,1365.001365,1,1,"Sector-11 Ghansoli,Mumbai",19.126499,72.99956,200
2200176,Dealer,1,1,2,BHK,499.6366279,0,0,"Hiranandani Estate,Maharashtra",19.255098,72.9815265,110
2200177,Dealer,0,0,2,BHK,1050.144395,1,1,"Manjalpur,Vadodara",22.271214,73.188827,40
2200178,Owner,0,0,1,BHK,476.0204689,1,1,"Madanandapuram,Chennai",13.020957,80.152774,40
2200179,Dealer,0,0,2,BHK,985.452839,1,1,"Hajipur,Noida",28.538774,77.366515,21
2200180,Dealer,0,0,2,BHK,1045.296167,1,1,"Sector 77 Faridabad,Faridabad",28.368269,77.37273,24
2200181,Dealer,1,1,2,BHK,1301.89498,0,1,"Sarjapur Road,Bangalore",12.86,77.786,90
2200182,Owner,0,0,2,BHK,2000,1,1,"Alwar Bypass Road,Bhiwadi",28.2102,76.8606,38
2200183,Dealer,1,1,4,BHK,4465.709729,0,1,"Sector-108 Noida,Noida",28.526624,77.376718,280
2200184,Dealer,0,0,2,BHK,1192,1,1,"Nayapalli,Bhubaneswar",20.286571,85.810906,59.6
2200185,Dealer,1,0,3,BHK,1846.153846,0,0,"New Town,Kolkata",22.5922,88.484911,120
2200186,Dealer,1,0,1,BHK,448.5310608,0,1,"Kanjur Marg (East),Mumbai",19.221571,73.042474,120
2200187,Owner,0,0,2,BHK,750.0604887,1,1,"Gyan Khand 2,Ghaziabad",28.66667,77.41667,31
2200188,Dealer,0,0,2,BHK,1060.070671,1,1,"Roadpali,Maharashtra",19.040066,73.115347,72
2200189,Dealer,0,1,3,BHK,1415.09434,1,1,"Electronic City Phase II,Bangalore",12.8458,77.6727,79.5
2200190,Dealer,0,0,2,BHK,1160.062565,1,1,"Sector-35G Kharghar,Maharashtra",18.96,72.82,89
2200191,Dealer,0,0,3,BHK,1690.024732,1,1,"Goregaon (East),Lalitpur",19.1615,72.8731,410
2200192,Owner,1,0,3,BHK,1672.762741,0,1,"Sector-143B Noida,Noida",28.495803,77.426848,68.6
2200193,Owner,0,0,2,BHK,1315.265046,1,1,"RM Park,Valsad",20.606469,72.913465,33
2200194,Dealer,0,0,1,BHK,650.026001,1,1,"Kalyan (West),Mumbai",19.245347,73.124577,50
2200195,Owner,0,0,1,BHK,540.1755571,1,1,"Saphale,Palghar",19.585537,72.836868,16
2200196,Dealer,0,0,3,BHK,1830.065359,1,1,"Suraksha Nagar,Bangalore",20.098413,79.10786,98
2200197,Dealer,0,0,3,BHK,1575.157516,1,1,"Judges Enclave,Ghaziabad",28.66667,77.41667,70
2200198,Dealer,0,0,3,BHK,1530,1,1,"Harlur Road,Bangalore",12.904179,77.665897,76.5
2200199,Owner,0,0,2,BHK,619.6377502,1,1,"Byagadadhenahalli,Bangalore",12.758604,77.700377,26
2200200,Owner,0,0,4,BHK,2200,1,1,"Citylight Area,Surat",21.17,72.83,110
2200201,Dealer,0,0,3,BHK,1757.188498,1,1,"Action Area IID,Kolkata",40.67197199,-86.15292909,77
2200202,Dealer,0,1,2,BHK,1087.885617,1,1,"Manpada,Mumbai",19.239813,72.962722,140
2200203,Owner,0,0,2,BHK,1199.862873,1,1,"Doddakallasandra,Bangalore",12.880993,77.557654,70
2200204,Owner,0,0,2,BHK,1265.035255,1,1,"Bhuvaneshwari Nagar,Bangalore",13.033421,77.603954,61
2200205,Dealer,0,0,2,BHK,676.0453302,1,1,"Ganganagar,Kolkata",22.301625,88.242147,17.3
2200206,Owner,0,0,2,BHK,800,1,1,"Mohan Nagar,Ghaziabad",28.678014,77.38296,42
2200207,Owner,0,0,2,BHK,750.0750075,1,1,"Maheshtala,Kolkata",22.486821,88.233267,25
2200208,Dealer,0,1,2,BHK,1500,1,0,"Anna Nagar West,Chennai",13.086769,80.191135,150
2200209,Dealer,0,0,3,BHK,1814.285714,1,1,"Khandagiri,Bhubaneswar",20.257483,85.780142,88.9
2200210,Dealer,0,1,3,BHK,1195.652174,1,1,"Ghodbunder Road,Lalitpur",24.69028,78.41889,110
2200211,Dealer,0,0,3,BHK,1395.032324,1,1,"Raj Nagar Extension,Ghaziabad",26.900926,75.775927,41
2200212,Owner,0,0,2,BHK,850.1594049,1,1,"Palghar,Palghar",19.696531,72.767746,24
2200213,Dealer,0,0,2,BHK,909.4339623,1,1,"Keelkattalai,Chennai",12.957707,80.183671,48.2
2200214,Owner,1,0,2,BHK,910.0937672,0,1,"Ramna,Varanasi",25.248438,83.014116,33
2200215,Dealer,0,0,3,BHK,1850.070303,1,1,"Aga Abbas Ali Road,Bangalore",12.96991,77.59796,250
2200216,Dealer,0,1,3,BHK,2069.857697,1,1,"Sector-107 Noida,Noida",28.546788,77.378494,160
2200217,Dealer,0,1,2,BHK,820.0082001,1,1,"Thane West,Mumbai",19.18,72.96333,140
2200218,Dealer,0,0,2,BHK,1241.80752,1,1,"Sargasan,Gandhinagar",23.182972,72.611485,36
2200219,Dealer,0,1,3,BHK,1014.120668,1,0,"Kharadi,Maharashtra",18.5438,73.9438,79
2200220,Dealer,0,0,4,BHK,2302.158273,1,1,"Sector-70 Mohali,Mohali",30.697795,76.714722,160
2200221,Dealer,0,0,2,BHK,900.0782677,1,1,"Sector 35I Kharghar,Lalitpur",24.69028,78.41889,69
2200222,Builder,1,0,2,BHK,898.5074627,0,0,"Jalukbari,Guwahati",26.154874,91.670312,30.1
2200223,Dealer,0,0,3,BHK,2235.294118,1,1,"C-Scheme,Jaipur",26.91667,75.86667,190
2200224,Dealer,0,0,3,BHK,1350,1,1,"Sector-50 Noida,Noida",28.5679,77.3679,81
2200225,Dealer,0,1,2,BHK,1100.110011,1,1,"Warje,Pune",18.485487,73.803773,70
2200226,Dealer,0,1,1,BHK,612.1199755,1,1,"Mambakkam,Chennai",12.8356,80.1682,30
2200227,Owner,0,0,2,BHK,1100.352113,1,1,"Sai Nagar,Amravati",20.892133,77.741664,25
2200228,Dealer,0,1,5,BHK,5194.805195,1,1,"Sector-128 Noida,Noida",28.522931,77.357078,400
2200229,Dealer,0,0,3,BHK,1475.256769,1,1,"Sector-137 Noida,Noida",28.506454,77.409568,79
2200230,Dealer,0,1,4,BHK,2780.191138,1,1,"Sector-79 Noida,Noida",28.558047,77.392752,160
2200231,Builder,1,0,1,BHK,300.0260892,0,0,"Kachimet,Lalitpur",24.69028,78.41889,11.5
2200232,Owner,0,0,2,BHK,1000,1,1,"Venkojipalem,Visakhapatnam",17.7,83.25,50
2200233,Dealer,0,0,2,BHK,1532.720245,1,1,"Goregaon (East),Mumbai",19.1615,72.8731,230
2200234,Dealer,1,1,2,BHK,995.8314034,0,0,"Sevasi,Vadodara",22.311323,73.121275,21.5
2200235,Dealer,0,0,3,BHK,1646.706587,1,0,"Sector-90 Gurgaon,Gurgaon",28.406794,76.936447,110
2200236,Dealer,0,0,4,BHK,2350.965575,1,1,"Sunny Enclave,Mohali",30.664299,76.817624,56
2200237,Owner,0,0,3,BHK,534.061239,1,1,"Sector 55 Faridabad,Faridabad",28.34532,77.299035,45
2200238,Dealer,1,1,2,BHK,1100,0,1,"Majiwada,Mumbai",19.218498,72.992114,110
2200239,Dealer,0,0,3,BHK,1968.888889,1,1,"GS Road,Guwahati",26.16667,91.76667,88.6
2200240,Dealer,0,1,3,BHK,2196.354052,1,1,"Sector-110 Noida,Noida",28.536585,77.383669,100
2200241,Dealer,0,1,4,BHK,2400,1,1,"Laxmi Nagar,Mumbai",22.281215,70.789479,300
2200242,Dealer,0,0,2,BHK,1650.252861,1,1,"Hadapsar,Pune",18.49667,73.94167,62
2200243,Dealer,1,1,2,BHK,632.0572845,0,0,"Vasai East,Mumbai",19.402549,72.854418,45.9
2200244,Owner,0,0,2,BHK,1034.965035,1,1,"Chinhat,Lucknow",26.882832,81.033767,37
2200245,Dealer,0,0,2,BHK,965.0439631,1,1,"kavesar,Maharashtra",18.96,72.82,90
2200246,Builder,1,1,2,BHK,600.5495224,0,0,"Sus,Lalitpur",24.69028,78.41889,45.9
2200247,Dealer,0,0,2,BHK,984.8484848,1,1,"Hiranandani Estate,Mumbai",19.255098,72.9815265,130
2200248,Dealer,0,0,3,BHK,1700.060716,1,1,"Chembur,Mumbai",19.05871,72.89969,420
